2024/10/12 00:37:38  | DEBUG | view | Create New Project button clicked
2024/10/12 00:37:38  | DEBUG | view | Create New Project button clicked
2024/10/12 00:37:40  | DEBUG | view | Settings button clicked
2024/10/12 00:37:40  | DEBUG | view | Settings button clicked
2024/10/12 00:37:40  | DEBUG | view | Settings button clicked
2024/10/12 00:37:40  | DEBUG | view | Settings button clicked
2024/10/12 00:37:41  | DEBUG | view | Help button clicked
2024/10/12 00:37:41  | DEBUG | view | Help button clicked
2024/10/12 00:37:41  | DEBUG | view | Help button clicked
2024/10/12 00:37:41  | DEBUG | view | Open Existing Project button clicked
2024/10/12 00:37:42  | DEBUG | view | Open Existing Project button clicked
2024/10/12 00:37:42  | DEBUG | view | Open Existing Project button clicked
2024/10/12 00:37:42  | DEBUG | view | Help button clicked
