T,Alt,FAlt,FVeloc,LDA,Apogee,N-O,Drogue,Main,AUX
0.00,10.00,2.00,40.00,0,0,0,0,0,0
0.05,18.00,5.20,64.00,0,0,0,0,0,0
0.10,17.00,7.56,47.20,0,0,0,0,0,0
0.15,25.00,11.05,69.76,0,0,0,0,0,0
0.20,32.00,15.24,83.81,0,0,0,0,0,0
0.25,39.00,19.99,95.05,0,0,0,0,0,0
0.30,53.00,26.59,132.04,0,0,0,0,0,0
0.35,66.00,34.47,157.63,0,0,0,0,0,0
0.40,82.00,43.98,190.10,0,0,0,0,0,0
0.45,100.00,55.18,224.08,0,0,0,0,0,0
0.50,117.00,67.55,247.27,0,0,0,0,0,0
0.55,122.00,78.44,217.81,0,0,0,0,0,0
0.60,136.00,89.95,230.25,0,0,0,0,0,0
0.65,157.00,103.36,268.20,0,0,0,0,0,0
0.70,176.00,117.89,290.56,0,0,0,0,0,0
0.75,218.00,137.91,400.45,218,0,0,0,0,0
0.80,237.00,157.73,396.36,0,0,0,0,0,0
0.85,251.00,176.38,373.09,0,0,0,0,0,0
0.90,268.00,194.71,366.47,0,0,0,0,0,0
0.95,276.00,210.96,325.18,0,0,0,0,0,0
1.00,294.00,227.57,332.14,0,0,0,0,0,0
1.05,320.00,246.06,369.71,0,0,0,0,0,0
1.10,340.00,264.85,375.77,0,0,0,0,0,0
1.15,366.00,285.08,404.62,0,0,0,0,0,0
1.20,400.00,308.06,459.69,0,0,0,0,0,0
1.25,421.00,330.65,451.75,0,0,0,0,0,0
1.30,435.00,351.52,417.40,0,0,0,0,0,0
1.35,462.00,373.62,441.92,0,0,0,0,0,0
1.40,490.00,396.89,465.54,0,0,0,0,0,0
1.45,516.00,420.71,476.43,0,0,0,0,0,0
1.50,558.00,448.17,549.14,0,0,0,0,0,0
1.55,579.00,474.34,523.32,0,0,0,0,0,0
1.60,601.00,499.67,506.65,0,0,0,0,0,0
1.65,634.00,526.54,537.32,0,0,0,0,0,0
1.70,668.00,554.83,565.86,0,0,0,0,0,0
1.75,708.00,585.46,612.69,0,0,0,0,0,0
1.80,731.00,614.57,582.15,0,0,0,0,0,0
1.85,762.00,644.06,589.72,0,0,0,0,0,0
1.90,797.00,674.64,611.77,0,0,0,0,0,0
1.95,835.00,706.72,641.42,0,0,0,0,0,0
2.00,862.00,737.77,621.14,0,0,0,0,0,0
2.05,901.00,770.42,652.91,0,0,0,0,0,0
2.10,941.00,804.53,682.33,0,0,0,0,0,0
2.15,979.00,839.43,697.86,0,0,0,0,0,0
2.20,1015.00,874.54,702.29,0,0,0,0,0,0
2.25,1048.00,909.23,693.83,0,0,0,0,0,0
2.30,1088.00,944.99,715.06,0,0,0,0,0,0
2.35,1129.00,981.79,736.05,0,0,0,0,0,0
2.40,1160.00,1017.43,712.84,0,0,0,0,0,0
2.45,1203.00,1054.55,742.27,0,0,0,0,0,0
2.50,1243.00,1092.24,753.82,0,0,0,0,0,0
2.55,1281.00,1129.99,755.06,0,0,0,0,0,0
2.60,1327.00,1169.39,788.04,0,0,0,0,0,0
2.65,1371.00,1209.71,806.44,0,0,0,0,0,0
2.70,1407.00,1249.17,789.15,0,0,0,0,0,0
2.75,1454.00,1290.14,819.32,0,0,0,0,0,0
2.80,1498.00,1331.71,831.46,0,0,0,0,0,0
2.85,1537.00,1372.77,821.16,0,0,0,0,0,0
2.90,1583.00,1414.81,840.93,0,0,0,0,0,0
2.95,1630.00,1457.85,860.74,0,0,0,0,0,0
3.00,1671.00,1500.48,852.60,0,0,0,0,0,0
3.05,1721.00,1544.58,882.08,0,0,0,0,0,0
3.10,1766.00,1588.87,885.66,0,0,0,0,0,0
3.15,1806.00,1632.29,868.53,0,0,0,0,0,0
3.20,1851.00,1676.04,874.82,0,0,0,0,0,0
3.25,1908.00,1722.43,927.86,0,0,0,0,0,0
3.30,1955.00,1768.94,930.29,0,0,0,0,0,0
3.35,1986.00,1812.35,868.23,0,0,0,0,0,0
3.40,2043.00,1858.48,922.58,0,0,0,0,0,0
3.45,2086.00,1903.99,910.07,0,0,0,0,0,0
3.50,2140.00,1951.19,944.05,0,0,0,0,0,0
3.55,2192.00,1999.35,963.24,0,0,0,0,0,0
3.60,2243.00,2048.08,974.59,0,0,0,0,0,0
3.65,2296.00,2097.66,991.67,0,0,0,0,0,0
3.70,2345.00,2147.13,989.34,0,0,0,0,0,0
3.75,2398.00,2197.31,1003.47,0,0,0,0,0,0
3.80,2444.00,2246.64,986.78,0,0,0,0,0,0
3.85,2490.00,2295.32,973.42,0,0,0,0,0,0
3.90,2546.00,2345.45,1002.74,0,0,0,0,0,0
3.95,2592.00,2394.76,986.19,0,0,0,0,0,0
4.00,2649.00,2445.61,1016.95,0,0,0,0,0,0
4.05,2700.00,2496.49,1017.56,0,0,0,0,0,0
4.10,2752.00,2547.59,1022.05,0,0,0,0,0,0
4.15,2806.00,2599.27,1033.64,0,0,0,0,0,0
4.20,2853.00,2650.02,1014.91,0,0,0,0,0,0
4.25,2911.00,2702.21,1043.93,0,0,0,0,0,0
4.30,2962.00,2754.17,1039.14,0,0,0,0,0,0
4.35,3018.00,2806.94,1055.31,0,0,0,0,0,0
4.40,3069.00,2859.35,1048.25,0,0,0,0,0,0
4.45,3116.00,2910.68,1026.60,0,0,0,0,0,0
4.50,3174.00,2963.34,1053.28,0,0,0,0,0,0
4.55,3213.00,3013.27,998.62,0,0,0,0,0,0
4.60,3258.00,3062.22,978.90,0,0,0,0,0,0
4.65,3278.00,3105.38,863.12,0,0,0,0,0,0
4.70,3307.00,3145.70,806.49,0,0,0,0,0,0
4.75,3331.00,3182.76,741.20,0,0,0,0,0,0
4.80,3369.00,3220.01,744.96,0,0,0,0,0,0
4.85,3393.00,3254.61,691.97,0,0,0,0,0,0
4.90,3423.00,3288.29,673.57,0,0,0,0,0,0
4.95,3460.00,3322.63,686.86,0,0,0,0,0,0
5.00,3488.00,3355.70,661.48,0,0,0,0,0,0
5.05,3519.00,3388.36,653.19,0,0,0,0,0,0
5.10,3548.00,3420.29,638.55,0,0,0,0,0,0
5.15,3580.00,3452.23,638.84,0,0,0,0,0,0
5.20,3605.00,3482.79,611.07,0,0,0,0,0,0
5.25,3631.00,3512.43,592.86,0,0,0,0,0,0
5.30,3655.00,3540.94,570.29,0,0,0,0,0,0
5.35,3681.00,3568.95,560.23,0,0,0,0,0,0
5.40,3704.00,3595.96,540.19,0,0,0,0,0,0
5.45,3723.00,3621.37,508.14,0,0,0,0,0,0
5.50,3751.00,3647.30,518.52,0,0,0,0,0,0
5.55,3771.00,3672.04,494.81,0,0,0,0,0,0
5.60,3796.00,3696.83,495.85,0,0,0,0,0,0
5.65,3827.00,3722.86,520.68,0,0,0,0,0,0
5.70,3849.00,3748.09,504.55,0,0,0,0,0,0
5.75,3876.00,3773.67,511.64,0,0,0,0,0,0
5.80,3906.00,3800.14,529.31,0,0,0,0,0,0
5.85,3926.00,3825.31,503.45,0,0,0,0,0,0
5.90,3954.00,3851.05,514.76,0,0,0,0,0,0
5.95,3980.00,3876.84,515.81,0,0,0,0,0,0
6.00,4008.00,3903.07,524.64,0,0,0,0,0,0
6.05,4031.00,3928.66,511.72,0,0,0,0,0,0
6.10,4053.00,3953.53,497.37,0,0,0,0,0,0
6.15,4083.00,3979.42,517.90,0,0,0,0,0,0
6.20,4105.00,4004.54,502.32,0,0,0,0,0,0
6.25,4127.00,4029.03,489.85,0,0,0,0,0,0
6.30,4156.00,4054.42,507.89,0,0,0,0,0,0
6.35,4178.00,4079.14,494.31,0,0,0,0,0,0
6.40,4200.00,4103.31,483.45,0,0,0,0,0,0
6.45,4226.00,4127.85,490.75,0,0,0,0,0,0
6.50,4244.00,4151.08,464.61,0,0,0,0,0,0
6.55,4271.00,4175.06,479.69,0,0,0,0,0,0
6.60,4291.00,4198.25,463.75,0,0,0,0,0,0
6.65,4310.00,4220.60,446.99,0,0,0,0,0,0
6.70,4336.00,4243.68,461.60,0,0,0,0,0,0
6.75,4356.00,4266.14,449.28,0,0,0,0,0,0
6.80,4381.00,4289.12,459.42,0,0,0,0,0,0
6.85,4401.00,4311.49,447.54,0,0,0,0,0,0
6.90,4425.00,4334.19,454.03,0,0,0,0,0,0
6.95,4442.00,4355.76,431.22,0,0,0,0,0,0
7.00,4469.00,4378.40,452.98,0,0,0,0,0,0
7.05,4487.00,4400.12,434.38,0,0,0,0,0,0
7.10,4507.00,4421.50,427.51,0,0,0,0,0,0
7.15,4529.00,4443.00,430.00,0,0,0,0,0,0
7.20,4553.00,4465.00,440.00,0,0,0,0,0,0
7.25,4575.00,4487.00,440.00,0,0,0,0,0,0
7.30,4598.00,4509.20,444.00,0,0,0,0,0,0
7.35,4618.00,4530.96,435.21,0,0,0,0,0,0
7.40,4638.00,4552.37,428.16,0,0,0,0,0,0
7.45,4662.00,4574.29,438.53,0,0,0,0,0,0
7.50,4681.00,4595.64,426.83,0,0,0,0,0,0
7.55,4701.00,4616.71,421.46,0,0,0,0,0,0
7.60,4724.00,4638.17,429.17,0,0,0,0,0,0
7.65,4746.00,4659.73,431.34,0,0,0,0,0,0
7.70,4765.00,4680.79,421.06,0,0,0,0,0,0
7.75,4787.00,4702.03,424.85,0,0,0,0,0,0
7.80,4807.00,4723.02,419.88,0,0,0,0,0,0
7.85,4824.00,4743.22,403.91,0,0,0,0,0,0
7.90,4851.00,4764.77,431.12,0,0,0,0,0,0
7.95,4868.00,4785.42,412.90,0,0,0,0,0,0
8.00,4892.00,4806.74,426.32,0,0,0,0,0,0
8.05,4909.00,4827.19,409.05,0,0,0,0,0,0
8.10,4928.00,4847.35,403.24,0,0,0,0,0,0
8.15,4950.00,4867.88,410.60,0,0,0,0,0,0
8.20,4973.00,4888.90,420.48,0,0,0,0,0,0
8.25,4989.00,4908.92,400.38,0,0,0,0,0,0
8.30,5009.00,4928.94,400.30,0,0,0,0,0,0
8.35,5027.00,4948.55,392.25,0,0,0,0,0,0
8.40,5052.00,4969.24,413.80,0,0,0,0,0,0
8.45,5068.00,4988.99,395.04,0,0,0,0,0,0
8.50,5089.00,5008.99,400.03,0,0,0,0,0,0
8.55,5108.00,5028.80,396.03,0,0,0,0,0,0
8.60,5129.00,5048.84,400.82,0,0,0,0,0,0
8.65,5148.00,5068.67,396.65,0,0,0,0,0,0
8.70,5170.00,5088.94,405.32,0,0,0,0,0,0
8.75,5187.00,5108.55,392.26,0,0,0,0,0,0
8.80,5210.00,5128.84,405.81,0,0,0,0,0,0
8.85,5230.00,5149.07,404.65,0,0,0,0,0,0
8.90,5248.00,5168.86,395.71,0,0,0,0,0,0
8.95,5267.00,5188.49,392.58,0,0,0,0,0,0
9.00,5285.00,5207.79,386.05,0,0,0,0,0,0
9.05,5307.00,5227.63,396.85,0,0,0,0,0,0
9.10,5324.00,5246.90,385.48,0,0,0,0,0,0
9.15,5340.00,5265.52,372.38,0,0,0,0,0,0
9.20,5362.00,5284.82,385.91,0,0,0,0,0,0
9.25,5378.00,5303.46,372.72,0,0,0,0,0,0
9.30,5402.00,5323.16,394.18,0,0,0,0,0,0
9.35,5417.00,5341.93,375.34,0,0,0,0,0,0
9.40,5434.00,5360.34,368.27,0,0,0,0,0,0
9.45,5455.00,5379.28,378.62,0,0,0,0,0,0
9.50,5474.00,5398.22,378.90,0,0,0,0,0,0
9.55,5492.00,5416.98,375.12,0,0,0,0,0,0
9.60,5513.00,5436.18,384.09,0,0,0,0,0,0
9.65,5528.00,5454.54,367.28,0,0,0,0,0,0
9.70,5547.00,5473.04,369.82,0,0,0,0,0,0
9.75,5564.00,5491.23,363.86,0,0,0,0,0,0
9.80,5579.00,5508.78,351.08,0,0,0,0,0,0
9.85,5599.00,5526.83,360.87,0,0,0,0,0,0
9.90,5617.00,5544.86,360.69,0,0,0,0,0,0
9.95,5634.00,5562.69,356.55,0,0,0,0,0,0
10.00,5653.00,5580.75,361.24,0,0,0,0,0,0
10.05,5670.00,5598.60,356.99,0,0,0,0,0,0
10.10,5688.00,5616.48,357.60,0,0,0,0,0,0
10.15,5703.00,5633.78,346.07,0,0,0,0,0,0
10.20,5720.00,5651.03,344.86,0,0,0,0,0,0
10.25,5738.00,5668.42,347.89,0,0,0,0,0,0
10.30,5754.00,5685.54,342.31,0,0,0,0,0,0
10.35,5770.00,5702.43,337.85,0,0,0,0,0,0
10.40,5789.00,5719.74,346.28,0,0,0,0,0,0
10.45,5805.00,5736.80,341.03,0,0,0,0,0,0
10.50,5820.00,5753.44,332.82,0,0,0,0,0,0
10.55,5837.00,5770.15,334.26,0,0,0,0,0,0
10.60,5858.00,5787.72,351.41,0,0,0,0,0,0
10.65,5872.00,5804.58,337.12,0,0,0,0,0,0
10.70,5885.00,5820.66,321.70,0,0,0,0,0,0
10.75,5902.00,5836.93,325.36,0,0,0,0,0,0
10.80,5919.00,5853.34,328.28,0,0,0,0,0,0
10.85,5936.00,5869.87,330.62,0,0,0,0,0,0
10.90,5951.00,5886.10,324.50,0,0,0,0,0,0
10.95,5969.00,5902.68,331.60,0,0,0,0,0,0
11.00,5983.00,5918.74,321.28,0,0,0,0,0,0
11.05,5997.00,5934.39,313.03,0,0,0,0,0,0
11.10,6010.00,5949.52,302.42,0,0,0,0,0,0
11.15,6028.00,5965.21,313.94,0,0,0,0,0,0
11.20,6045.00,5981.17,319.15,0,0,0,0,0,0
11.25,6064.00,5997.74,331.32,0,0,0,0,0,0
11.30,6074.00,6012.99,305.06,0,0,0,0,0,0
11.35,6089.00,6028.19,304.04,0,0,0,0,0,0
11.40,6101.00,6042.75,291.24,0,0,0,0,0,0
11.45,6121.00,6058.40,312.99,0,0,0,0,0,0
11.50,6133.00,6073.32,298.39,0,0,0,0,0,0
11.55,6149.00,6088.46,302.71,0,0,0,0,0,0
11.60,6163.00,6103.37,298.17,0,0,0,0,0,0
11.65,6178.00,6118.29,298.54,0,0,0,0,0,0
11.70,6191.00,6132.83,290.83,0,0,0,0,0,0
11.75,6205.00,6147.27,288.66,0,0,0,0,0,0
11.80,6219.00,6161.61,286.93,0,0,0,0,0,0
11.85,6236.00,6176.49,297.54,0,0,0,0,0,0
11.90,6246.00,6190.39,278.04,0,0,0,0,0,0
11.95,6264.00,6205.11,294.42,0,0,0,0,0,0
12.00,6279.00,6219.89,295.55,0,0,0,0,0,0
12.05,6288.00,6233.51,272.43,0,0,0,0,0,0
12.10,6304.00,6247.61,281.94,0,0,0,0,0,0
12.15,6316.00,6261.29,273.55,0,0,0,0,0,0
12.20,6329.00,6274.83,270.85,0,0,0,0,0,0
12.25,6343.00,6288.46,272.68,0,0,0,0,0,0
12.30,6358.00,6302.37,278.14,0,0,0,0,0,0
12.35,6371.00,6316.10,274.51,0,0,0,0,0,0
12.40,6379.00,6328.68,251.61,0,0,0,0,0,0
12.45,6397.00,6342.34,273.29,0,0,0,0,0,0
12.50,6411.00,6356.07,274.63,0,0,0,0,0,0
12.55,6421.00,6369.06,259.71,0,0,0,0,0,0
12.60,6437.00,6382.65,271.77,0,0,0,0,0,0
12.65,6449.00,6395.92,265.41,0,0,0,0,0,0
12.70,6460.00,6408.73,256.33,0,0,0,0,0,0
12.75,6472.00,6421.39,253.07,0,0,0,0,0,0
12.80,6486.00,6434.31,258.45,0,0,0,0,0,0
12.85,6497.00,6446.85,250.76,0,0,0,0,0,0
12.90,6507.00,6458.88,240.61,0,0,0,0,0,0
12.95,6521.00,6471.30,248.49,0,0,0,0,0,0
13.00,6535.00,6484.04,254.79,0,0,0,0,0,0
13.05,6547.00,6496.63,251.84,0,0,0,0,0,0
13.10,6558.00,6508.91,245.47,0,0,0,0,0,0
13.15,6571.00,6521.33,248.37,0,0,0,0,0,0
13.20,6582.00,6533.46,242.70,0,0,0,0,0,0
13.25,6593.00,6545.37,238.15,0,0,0,0,0,0
13.30,6606.00,6557.49,242.53,0,0,0,0,0,0
13.35,6619.00,6569.80,246.03,0,0,0,0,0,0
13.40,6629.00,6581.64,236.82,0,0,0,0,0,0
13.45,6643.00,6593.91,245.45,0,0,0,0,0,0
13.50,6654.00,6605.93,240.36,0,0,0,0,0,0
13.55,6662.00,6617.14,224.29,0,0,0,0,0,0
13.60,6674.00,6628.51,227.43,0,0,0,0,0,0
13.65,6686.00,6640.01,229.95,0,0,0,0,0,0
13.70,6694.00,6650.81,215.96,0,0,0,0,0,0
13.75,6706.00,6661.85,220.76,0,0,0,0,0,0
13.80,6720.00,6673.48,232.62,0,0,0,0,0,0
13.85,6726.00,6683.98,210.09,0,0,0,0,0,0
13.90,6739.00,6694.99,220.07,0,0,0,0,0,0
13.95,6749.00,6705.79,216.05,0,0,0,0,0,0
14.00,6760.00,6716.63,216.85,0,0,0,0,0,0
14.05,6773.00,6727.90,225.48,0,0,0,0,0,0
14.10,6782.00,6738.72,216.39,0,0,0,0,0,0
14.15,6793.00,6749.58,217.11,0,0,0,0,0,0
14.20,6801.00,6759.86,205.68,0,0,0,0,0,0
14.25,6813.00,6770.49,212.55,0,0,0,0,0,0
14.30,6821.00,6780.59,202.04,0,0,0,0,0,0
14.35,6831.00,6790.67,201.63,0,0,0,0,0,0
14.40,6842.00,6800.94,205.30,0,0,0,0,0,0
14.45,6849.00,6810.55,192.25,0,0,0,0,0,0
14.50,6861.00,6820.64,201.80,0,0,0,0,0,0
14.55,6872.00,6830.91,205.43,0,0,0,0,0,0
14.60,6880.00,6840.73,196.35,0,0,0,0,0,0
14.65,6889.00,6850.38,193.08,0,0,0,0,0,0
14.70,6898.00,6859.91,190.46,0,0,0,0,0,0
