,ts,id,T,P
0,-0.755,BARO0,41.18,99694
1,-0.745,BARO0,41.19,99696
2,-0.735,BARO0,41.19,99688
3,-0.725,BARO0,41.19,99704
4,-0.715,BARO0,41.17,99679
5,-0.705,BARO0,41.2,99693
6,-0.695,BARO0,41.18,99678
7,-0.685,BARO0,41.19,99674
8,-0.675,BARO0,41.2,99703
9,-0.665,BARO0,41.19,99707
10,-0.655,BARO0,41.17,99685
11,-0.645,BARO0,41.19,99683
12,-0.635,BARO0,41.19,99693
13,-0.625,BARO0,41.19,99687
14,-0.615,BARO0,41.19,99702
15,-0.605,BARO0,41.21,99685
16,-0.595,BARO0,41.19,99685
17,-0.585,BARO0,41.19,99681
18,-0.575,BARO0,41.19,99707
19,-0.565,BARO0,41.21,99681
20,-0.555,BARO0,41.19,99695
21,-0.545,BARO0,41.19,99701
22,-0.535,BARO0,41.18,99698
23,-0.525,BARO0,41.19,99673
24,-0.515,BARO0,41.18,99674
25,-0.505,BARO0,41.19,99706
26,-0.495,BARO0,41.22,99707
27,-0.485,BARO0,41.18,99684
28,-0.475,BARO0,41.2,99692
29,-0.465,BARO0,41.18,99701
30,-0.455,BARO0,41.19,99705
31,-0.445,BARO0,41.19,99698
32,-0.435,BARO0,41.18,99701
33,-0.425,BARO0,41.18,99679
34,-0.415,BARO0,41.17,99701
35,-0.405,BARO0,41.2,99703
36,-0.395,BARO0,41.21,99702
37,-0.385,BARO0,41.18,99680
38,-0.375,BARO0,41.19,99676
39,-0.365,BARO0,41.18,99691
40,-0.355,BARO0,41.2,99704
41,-0.345,BARO0,41.18,99666
42,-0.335,BARO0,41.18,99696
43,-0.325,BARO0,41.19,99711
44,-0.315,BARO0,41.18,99710
45,-0.305,BARO0,41.18,99677
46,-0.295,BARO0,41.19,99719
47,-0.285,BARO0,41.19,99669
48,-0.275,BARO0,41.19,99703
49,-0.265,BARO0,41.19,99754
50,-0.255,BARO0,41.18,99695
51,-0.245,BARO0,41.19,99706
52,-0.235,BARO0,41.18,99723
