,ts,latitude,longitude,satellites
0,-0.58,39.39009475708008,-8.289483070373535,12
1,-0.28,39.39009475708008,-8.289483070373535,12
2,0.02,39.39009094238281,-8.289483070373535,12
3,0.32,39.39009094238281,-8.289483070373535,12
4,0.52,39.39009094238281,-8.289485931396484,0
5,1.72,39.39009094238281,-8.289485931396484,0
6,10.52,39.38783264160156,-8.287121772766113,0
7,10.72,39.38783264160156,-8.287121772766113,12
8,11.22,39.38752746582031,-8.286745071411133,9
9,11.42,39.38752746582031,-8.286745071411133,9
10,11.72,39.387413024902344,-8.28659439086914,10
11,12.02,39.387413024902344,-8.28659439086914,6
12,12.22,39.38726043701172,-8.286388397216797,11
13,12.72,39.38726043701172,-8.286388397216797,12
14,13.22,39.38726043701172,-8.286388397216797,7
15,13.42,39.386959075927734,-8.28598690032959,8
16,13.62,39.38691329956055,-8.285917282104492,10
17,14.02,39.38682174682617,-8.285774230957031,10
18,14.22,39.38677215576172,-8.285700798034668,9
19,14.82,39.38661575317383,-8.28543758392334,10
20,15.02,39.38661575317383,-8.28543758392334,8
21,15.22,39.38661575317383,-8.28543758392334,10
22,15.42,39.38661575317383,-8.28543758392334,11
23,15.62,39.38642501831055,-8.285124778747559,12
24,15.72,39.38642501831055,-8.285124778747559,12
25,16.02,39.38642501831055,-8.285124778747559,9
26,16.22,39.38642501831055,-8.285124778747559,10
27,16.42,39.38642501831055,-8.285124778747559,12
28,16.72,39.38642501831055,-8.285124778747559,11
29,17.02,39.38642501831055,-8.285124778747559,7
30,17.22,39.38605880737305,-8.284541130065918,9
31,17.42,39.38601303100586,-8.28446102142334,12
32,17.62,39.38601303100586,-8.28446102142334,10
33,17.82,39.38591766357422,-8.284294128417969,10
34,18.02,39.38587188720703,-8.284215927124023,8
35,18.22,39.385826110839844,-8.284124374389648,10
36,18.42,39.38577651977539,-8.284039497375488,10
37,18.62,39.38572692871094,-8.283951759338379,11
38,18.72,39.38572692871094,-8.283951759338379,11
39,18.82,39.38568115234375,-8.283868789672852,12
40,19.02,39.3856315612793,-8.283770561218262,9
41,19.22,39.38557815551758,-8.283659934997559,12
42,19.42,39.38552474975586,-8.283559799194336,12
43,19.72,39.38547134399414,-8.283459663391113,12
44,19.82,39.38542556762695,-8.283370971679688,12
45,20.22,39.38533020019531,-8.283202171325684,11
46,20.42,39.385284423828125,-8.28311538696289,11
47,20.82,39.38523483276367,-8.283027648925781,10
48,21.02,39.38523483276367,-8.283027648925781,12
49,21.22,39.38509750366211,-8.282771110534668,11
50,21.42,39.38509750366211,-8.282771110534668,11
51,22.02,39.38490676879883,-8.282423973083496,8
52,22.22,39.38490676879883,-8.282423973083496,8
53,22.42,39.38480758666992,-8.28223991394043,10
54,22.82,39.38471603393555,-8.282063484191895,10
55,23.02,39.38467788696289,-8.281986236572266,7
56,23.22,39.384647369384766,-8.281923294067383,9
57,23.42,39.384647369384766,-8.281923294067383,11
58,23.62,39.38459014892578,-8.281807899475098,10
59,24.02,39.38454055786133,-8.281700134277344,10
60,24.22,39.38454055786133,-8.281700134277344,10
61,24.42,39.384521484375,-8.281623840332031,11
62,24.82,39.384498596191406,-8.281551361083984,10
63,25.02,39.384498596191406,-8.281551361083984,8
64,25.22,39.38447570800781,-8.281479835510254,10
65,25.62,39.38447570800781,-8.281479835510254,12
66,26.02,39.38447952270508,-8.281437873840332,7
67,26.22,39.38447570800781,-8.28141975402832,9
68,26.42,39.38447570800781,-8.281413078308105,10
69,26.62,39.384490966796875,-8.281440734863281,10
70,26.72,39.384490966796875,-8.281440734863281,10
71,26.82,39.384490966796875,-8.281440734863281,11
72,27.02,39.38449478149414,-8.281413078308105,9
73,27.22,39.384498596191406,-8.28139877319336,9
74,27.42,39.384498596191406,-8.28138542175293,12
75,27.62,39.38449478149414,-8.281373023986816,11
76,27.82,39.384498596191406,-8.281366348266602,11
77,28.02,39.384498596191406,-8.28135871887207,9
78,28.22,39.384498596191406,-8.281346321105957,8
79,28.42,39.38450622558594,-8.281335830688477,9
80,28.62,39.38450622558594,-8.281335830688477,10
81,28.82,39.38452911376953,-8.28136920928955,10
82,29.22,39.384544372558594,-8.281364440917969,8
83,29.62,39.38455581665039,-8.28136157989502,11
84,29.72,39.38455581665039,-8.28136157989502,12
85,30.02,39.384578704833984,-8.281393051147461,10
86,30.22,39.384578704833984,-8.281393051147461,11
87,30.42,39.384578704833984,-8.281393051147461,10
88,30.82,39.38459777832031,-8.281405448913574,12
89,31.02,39.38459777832031,-8.281405448913574,10
90,31.22,39.38459777832031,-8.281405448913574,9
91,31.42,39.38463592529297,-8.281407356262207,11
92,31.62,39.38463592529297,-8.281407356262207,12
93,31.82,39.38465118408203,-8.281407356262207,12
94,32.02,39.38466262817383,-8.28140926361084,9
95,32.22,39.384674072265625,-8.281413078308105,10
96,32.42,39.38468551635742,-8.281412124633789,11
97,32.72,39.38468551635742,-8.281412124633789,11
98,33.02,39.38472366333008,-8.281412124633789,10
99,33.22,39.38473892211914,-8.281413078308105,11
100,33.42,39.38474655151367,-8.281414031982422,12
101,33.72,39.38474655151367,-8.281414031982422,11
102,34.02,39.38474655151367,-8.281414031982422,7
103,34.22,39.38474655151367,-8.281414031982422,8
104,34.42,39.38479995727539,-8.281420707702637,10
105,34.82,39.38481903076172,-8.28141975402832,12
106,35.22,39.38484191894531,-8.281418800354004,9
107,35.62,39.384864807128906,-8.281423568725586,9
108,36.02,39.3848876953125,-8.281421661376953,7
109,36.22,39.3848991394043,-8.281421661376953,8
110,36.42,39.38491439819336,-8.281418800354004,12
111,36.62,39.38491439819336,-8.281418800354004,12
112,36.82,39.38493347167969,-8.28140926361084,12
113,37.02,39.38493347167969,-8.28140926361084,11
114,37.22,39.38495635986328,-8.281404495239258,12
115,37.42,39.383724212646484,-8.277534484863281,12
116,37.72,39.383731842041016,-8.277544975280762,12
117,37.82,39.38374710083008,-8.277548789978027,12
118,38.02,39.383758544921875,-8.277556419372559,12
119,38.22,39.38376998901367,-8.277566909790039,12
120,38.42,39.383785247802734,-8.277580261230469,12
121,38.62,39.38379669189453,-8.277591705322266,12
122,38.82,39.383811950683594,-8.277602195739746,12
123,39.02,39.383827209472656,-8.277612686157227,12
124,39.22,39.38384246826172,-8.277623176574707,12
125,39.42,39.38385772705078,-8.277631759643555,12
126,40.02,39.3839111328125,-8.277658462524414,12
127,40.22,39.38392639160156,-8.277666091918945,12
128,40.42,39.383941650390625,-8.27767276763916,12
129,40.82,39.383975982666016,-8.277689933776855,12
130,41.02,39.38399124145508,-8.27769947052002,12
131,41.22,39.38400650024414,-8.277709007263184,12
132,41.42,39.3840217590332,-8.277719497680664,12
133,42.02,39.38407516479492,-8.277750015258789,12
134,42.22,39.384090423583984,-8.277761459350586,12
135,42.42,39.38410949707031,-8.277772903442383,12
136,42.82,39.38414001464844,-8.277796745300293,12
137,43.02,39.3841552734375,-8.27780818939209,12
138,43.22,39.38417053222656,-8.277819633483887,12
139,43.42,39.384185791015625,-8.27782917022705,12
140,44.02,39.38422775268555,-8.277859687805176,12
141,44.22,39.384239196777344,-8.277870178222656,12
142,44.42,39.384254455566406,-8.27787971496582,12
143,44.82,39.384281158447266,-8.277899742126465,12
144,45.02,39.38429641723633,-8.277908325195312,12
145,45.22,39.384307861328125,-8.27791690826416,12
146,45.42,39.38432312011719,-8.277926445007324,12
147,46.02,39.38436508178711,-8.277953147888184,12
148,46.22,39.38438034057617,-8.277961730957031,12
149,46.42,39.384395599365234,-8.277970314025879,12
150,46.82,39.38442611694336,-8.277987480163574,12
151,47.02,39.38444137573242,-8.277996063232422,12
152,47.32,39.384456634521484,-8.278003692626953,12
