,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,-0.75,8.586,2.494,-2.947,3.37
1,-0.74,8.586,2.494,-2.947,3.37
2,-0.73,8.586,2.495,-2.948,3.37
3,-0.72,8.586,2.495,-2.948,3.37
4,-0.71,8.586,2.495,-2.948,3.37
5,-0.7,8.586,2.495,-2.949,3.37
6,-0.69,8.586,2.494,-2.948,3.37
7,-0.68,8.586,2.494,-2.948,3.37
8,-0.67,8.586,2.493,-2.947,3.37
9,-0.66,8.586,2.492,-2.947,3.371
10,-0.65,8.586,2.492,-2.947,3.371
11,-0.64,8.586,2.492,-2.947,3.371
12,-0.63,8.586,2.492,-2.947,3.371
13,-0.62,8.586,2.492,-2.947,3.37
14,-0.61,8.586,2.492,-2.947,3.37
15,-0.6,8.587,2.492,-2.947,3.37
16,-0.59,8.587,2.491,-2.947,3.37
17,-0.58,8.587,2.491,-2.948,3.37
18,-0.57,8.587,2.491,-2.948,3.37
19,-0.56,8.587,2.49,-2.948,3.37
20,-0.55,8.587,2.49,-2.949,3.37
21,-0.54,8.587,2.49,-2.949,3.37
22,-0.53,8.587,2.49,-2.949,3.37
23,-0.52,8.587,2.49,-2.949,3.369
24,-0.51,8.587,2.49,-2.949,3.369
25,-0.5,8.587,2.49,-2.95,3.369
26,-0.49,8.587,2.49,-2.95,3.369
27,-0.48,8.587,2.489,-2.95,3.368
28,-0.47,8.587,2.489,-2.951,3.368
29,-0.46,8.587,2.489,-2.951,3.368
30,-0.45,8.587,2.488,-2.951,3.368
31,-0.44,8.587,2.488,-2.951,3.368
32,-0.43,8.587,2.488,-2.952,3.368
33,-0.42,8.587,2.488,-2.952,3.368
34,-0.41,8.587,2.487,-2.952,3.368
35,-0.4,8.587,2.488,-2.953,3.368
36,-0.39,8.587,2.488,-2.953,3.367
37,-0.38,8.587,2.488,-2.954,3.367
38,-0.37,8.586,2.488,-2.954,3.367
39,-0.36,8.586,2.488,-2.955,3.367
40,-0.35,8.586,2.488,-2.956,3.367
41,-0.34,8.586,2.488,-2.956,3.367
42,-0.33,8.586,2.487,-2.956,3.367
43,-0.32,8.586,2.487,-2.957,3.367
44,-0.31,8.586,2.487,-2.957,3.367
45,-0.3,8.586,2.487,-2.958,3.367
46,-0.29,8.586,2.487,-2.957,3.367
47,-0.28,8.586,2.486,-2.957,3.367
48,-0.27,8.587,2.486,-2.957,3.366
49,-0.26,8.587,2.485,-2.957,3.365
50,-0.25,8.589,2.483,-2.954,3.365
51,-0.24,8.591,2.48,-2.949,3.365
52,-0.23,8.594,2.478,-2.944,3.365
53,-0.22,8.597,2.475,-2.939,3.364
54,-0.21,8.599,2.472,-2.934,3.363
55,-0.2,8.603,2.468,-2.928,3.363
56,-0.19,8.61,2.461,-2.914,3.364
57,-0.18,8.617,2.451,-2.898,3.366
58,-0.17,8.621,2.445,-2.889,3.366
59,-0.16,8.624,2.442,-2.883,3.366
60,-0.15,8.626,2.439,-2.88,3.367
61,-0.14,8.626,2.436,-2.881,3.368
62,-0.13,8.624,2.437,-2.884,3.369
63,-0.12,8.622,2.437,-2.89,3.369
64,-0.11,8.618,2.44,-2.899,3.369
65,-0.1,8.616,2.441,-2.904,3.369
66,-0.09,8.614,2.441,-2.909,3.369
67,-0.08,8.613,2.443,-2.914,3.368
68,-0.07,8.612,2.445,-2.917,3.366
69,-0.06,8.612,2.445,-2.918,3.365
70,-0.05,8.613,2.446,-2.917,3.363
71,-0.04,8.611,2.449,-2.922,3.36
72,-0.03,8.611,2.452,-2.924,3.357
73,-0.02,8.611,2.454,-2.926,3.355
74,-0.01,8.609,2.456,-2.932,3.352
75,0.0,8.608,2.458,-2.938,3.349
76,0.01,9.999,0.0,-0.01,0.0
77,0.02,9.999,0.0,-0.023,0.0
78,0.03,9.999,0.001,-0.035,0.0
79,0.04,9.999,0.002,-0.043,0.0
80,0.05,9.999,0.004,-0.048,0.0
81,0.06,9.999,0.004,-0.053,0.0
82,0.07,9.999,0.0,-0.039,0.001
83,0.08,9.999,-0.002,-0.019,0.003
84,0.09,9.999,-0.003,0.015,0.001
85,0.1,9.999,0.0,0.072,-0.001
86,0.11,9.999,0.001,0.134,-0.006
87,0.12,9.998,0.003,0.194,-0.011
88,0.13,9.996,0.004,0.251,-0.016
89,0.14,9.995,0.003,0.311,-0.019
90,0.15,9.992,0.003,0.375,-0.021
91,0.16,9.99,0.002,0.437,-0.02
92,0.17,9.987,0.001,0.493,-0.017
93,0.18,9.985,0.001,0.543,-0.013
94,0.19,9.982,0.0,0.587,-0.01
95,0.2,9.98,0.0,0.63,-0.006
96,0.21,9.977,-0.002,0.672,-0.001
97,0.22,9.974,-0.004,0.71,0.002
98,0.23,9.973,-0.005,0.732,0.006
99,0.24,9.971,-0.006,0.753,0.011
100,0.25,9.97,-0.006,0.763,0.015
101,0.26,9.969,-0.008,0.777,0.02
102,0.27,9.968,-0.013,0.787,0.026
103,0.28,9.97,-0.016,0.768,0.029
104,0.29,9.972,-0.017,0.745,0.031
105,0.3,9.974,-0.016,0.715,0.032
106,0.31,9.977,-0.015,0.674,0.03
107,0.32,9.979,-0.014,0.646,0.027
108,0.33,9.98,-0.016,0.616,0.026
109,0.34,9.984,-0.015,0.554,0.019
110,0.35,9.988,-0.013,0.473,0.01
111,0.36,9.993,-0.006,0.366,0.004
112,0.37,9.996,-0.002,0.253,0.002
113,0.38,9.998,0.0,0.143,0.0
114,0.39,9.999,0.001,0.055,-0.001
115,0.4,9.999,0.003,-0.017,-0.003
116,0.41,9.999,0.004,-0.085,-0.009
117,0.42,9.998,0.008,-0.144,-0.019
118,0.43,9.998,0.012,-0.182,-0.031
119,0.44,9.997,0.02,-0.201,-0.042
120,0.45,9.997,0.023,-0.213,-0.047
121,0.46,9.997,0.02,-0.217,-0.05
122,0.47,9.997,0.013,-0.213,-0.051
123,0.48,9.997,0.005,-0.197,-0.052
124,0.49,9.998,-0.002,-0.171,-0.054
125,0.5,9.998,-0.01,-0.135,-0.054
126,0.51,9.999,-0.02,-0.089,-0.052
127,0.52,9.999,-0.033,-0.033,-0.049
128,0.53,9.999,-0.046,0.033,-0.046
129,0.54,9.999,-0.061,0.111,-0.042
130,0.55,9.997,-0.077,0.2,-0.036
