OpenRocket simulation "L1" (exported by OpenRocket version 23.09)
Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (G),Total velocity (m/s),Total acceleration (G),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,5.343e-4,0.107,1.09,0.107,1.09,0,0,0,0,0,0,28.61,-80.6,0.999,87.308,0,0,0,788.985,325.036,0.083,4.714e-4,NaN,66.47,NaN,0.007,1.569e5,16.161,1.985e-6,0.722,1.829e-4,0.453,0.149,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.395e-6,6.6,34.212,90,0,2.273,15,1013.25,340.389,0.01,0.006
0.02,0.004,0.624,5.27,0.624,5.27,0,0,0,0,0,0,28.61,-80.6,0.999,74.468,0,0,0,788.721,324.771,0.083,4.713e-4,NaN,66.461,NaN,0.007,1.606e5,48.483,3.44e-4,0.719,0.03,0.45,0.149,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.141e-6,6.6,34.212,90,0,2.244,15,1013.25,340.389,0.01,0.007
0.03,0.015,1.549,9.438,1.549,9.438,0,0,0,0,0,0,28.61,-80.6,0.999,55.02,0,0,0,788.423,324.474,0.083,4.713e-4,NaN,66.451,NaN,0.008,1.863e5,80.696,0.004,0.703,0.258,0.434,0.149,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.022e-5,6.6,34.212,90,0,2.214,15,1013.248,340.389,0.01,0.008
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.036,2.721,11.953,2.721,11.953,0,0,0,0,0,0,28.61,-80.6,0.999,38.754,0,0,0,787.826,323.876,0.083,4.712e-4,NaN,66.431,NaN,0.01,2.406e5,100.081,0.015,0.678,0.578,0.409,0.149,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.552e-5,6.6,34.212,90,0,2.184,15,1013.246,340.389,0.01,0.008
0.05,0.07,4.028,13.331,4.028,13.331,0,0,0,0,0,0,28.61,-80.6,0.999,28.139,0,0,0,787.228,323.279,0.083,4.711e-4,NaN,66.411,NaN,0.013,3.15e5,110.66,0.033,0.654,0.754,0.385,0.149,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.259e-5,6.6,34.212,90,0,2.154,15,1013.242,340.389,0.01,0.009
0.06,0.117,5.407,14.074,5.407,14.074,0,0,0,0,0,0,28.61,-80.6,0.999,21.625,0,0,0,786.62,322.671,0.082,4.71e-4,NaN,66.391,NaN,0.017,4.011e5,116.33,0.057,0.634,0.806,0.365,0.149,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.06e-5,6.6,34.212,90,0,2.144,14.999,1013.236,340.388,0.01,0.009
0.07,0.178,6.731,13.504,6.731,13.504,0,0,0,0,0,0,28.61,-80.6,0.999,17.585,0,0,0,786.01,322.06,0.082,4.709e-4,NaN,66.371,NaN,0.021,4.869e5,111.872,0.084,0.619,0.804,0.35,0.149,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.788e-5,6.6,34.212,90,0,2.133,14.999,1013.229,340.388,0.01,0.01
